Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Benjamin Mason, benjamin.mason@uwaterloo.ca, figautumnzephyr33
Noah Hall, noah.hall@uwaterloo.ca, bananajunglecloud42
Ethan Price, ethan.price@uwaterloo.ca, zucchinimountainugli20
Kayla Gonzalez, kayla.gonzalez@uwaterloo.ca, iguanaxerusfig39
Amy Graham, amy.graham@uwaterloo.ca, figmonkeycat82
Janice Collins, janice.collins@uwaterloo.ca, figwindhorse41
Raymond Washington, raymond.washington@uwaterloo.ca, quailyakpapaya17
Diana Thompson, diana.thompson@uwaterloo.ca, batdatefrog38
Jonathan Hernandez, jonathan.hernandez1@uwaterloo.ca, owlquincejungle27
Henry Tran, henry.tran@uwaterloo.ca, penguinelephantriver20
Shirley Jenkins, shirley.jenkins@uwaterloo.ca, elderberrydogdog52
Sharon Young, sharon.young@uwaterloo.ca, catnightwhale98
Joshua Chen, joshua.chen@uwaterloo.ca, quailfrogfig27
David Davis, david.davis@uwaterloo.ca, quartzicekettle99
Catherine Mills, catherine.mills@uwaterloo.ca, dewantwatermelon55
Vincent Myers, vincent.myers@uwaterloo.ca, applegoatmango55
Sophia Wood, sophia.wood@uwaterloo.ca, treemountainflower25
Bruce Woods, bruce.woods@uwaterloo.ca, windearthugli65
Larry Daniels, larry.daniels@uwaterloo.ca, quaillemonzebra38
Angela Butler, angela.butler@uwaterloo.ca, tangerineautumnocean12
Alan Rice, alan.rice1@uwaterloo.ca, bananastrawberryant74
Stephen Jackson, stephen.jackson@uwaterloo.ca, strawberryapplekangaroo97
Charles Woods, charles.woods@uwaterloo.ca, nightxiguaxerus20
Joan Martinez, joan.martinez@uwaterloo.ca, xylophoneanturchin91
Ashley Simmons, ashley.simmons@uwaterloo.ca, elephantnightnectarine26
Timothy Owens, timothy.owens@uwaterloo.ca, figdewdate31
Dennis Brooks, dennis.brooks@uwaterloo.ca, goatwatermelonflower32
Christopher Sullivan, christopher.sullivan@uwaterloo.ca, honeydewapplejungle47
Joyce Young, joyce.young@uwaterloo.ca, dogvalleygrass66
Sophia Richardson, sophia.richardson@uwaterloo.ca, valleynightdate32
Adam Carter, adam.carter@uwaterloo.ca, owlvanillagrass51
Debra Carter, debra.carter@uwaterloo.ca, quincedatefrog98
Randy Gordon, randy.gordon@uwaterloo.ca, yellownewtfig45
Alice Wilson, alice.wilson@uwaterloo.ca, jellyfishdatenewt97
Philip Roberts, philip.roberts@uwaterloo.ca, xylophonebananaapple23
Cynthia Garza, cynthia.garza@uwaterloo.ca, kettlestrawberryvalley80
Stephen Stephens, stephen.stephens@uwaterloo.ca, sharknectarineshark51
Diana Porter, diana.porter@uwaterloo.ca, kiwiwatermelonwind23
Ashley Robertson, ashley.robertson@uwaterloo.ca, goatfigwatermelon29
Joan Chavez, joan.chavez@uwaterloo.ca, strawberryquartzearth45
Rebecca Taylor, rebecca.taylor1@uwaterloo.ca, grassurchinelephant77
Danielle Gardner, danielle.gardner@uwaterloo.ca, earthtreekangaroo40
Gloria Patterson, gloria.patterson@uwaterloo.ca, hilllionxigua18
Ann Gordon, ann.gordon@uwaterloo.ca, watermelonelderberryelderberry70
Daniel Walker, daniel.walker@uwaterloo.ca, watermelondewapple97
Deborah Scott, deborah.scott1@uwaterloo.ca, iguanahoneydewcat25
Nicholas Robertson, nicholas.robertson@uwaterloo.ca, windzucchinielderberry25
Brenda Aguilar, brenda.aguilar@uwaterloo.ca, kiwiriverwhale50
Andrew Ellis, andrew.ellis@uwaterloo.ca, sandzephyrocean83
Robert Morris, robert.morris@uwaterloo.ca, yawnbatmountain66
Olivia Phillips, olivia.phillips@uwaterloo.ca, jellyfishfigxylophone11
William Evans, william.evans@uwaterloo.ca, whalegoatxerus20
Kyle Sanchez, kyle.sanchez@uwaterloo.ca, turtlesharkhoneydew18
Patrick Jackson, patrick.jackson@uwaterloo.ca, umbrellamonkeycat53
Theresa Weaver, theresa.weaver@uwaterloo.ca, cloudwhalexerus49
Doris Murray, doris.murray@uwaterloo.ca, xylophonedatewatermelon17
Stanley Sullivan, stanley.sullivan@uwaterloo.ca, orangebananadate30
Victoria Black, victoria.black@uwaterloo.ca, lakevanillaiguana62
Rebecca Kelly, rebecca.kelly@uwaterloo.ca, mountainzucchinistrawberry43
Benjamin Dixon, benjamin.dixon@uwaterloo.ca, zebrakettledate13
Nathan Marshall, nathan.marshall@uwaterloo.ca, batvulturefrog28
Kathryn Scott, kathryn.scott@uwaterloo.ca, lakemountaindate65
Barbara Stone, barbara.stone@uwaterloo.ca, datedogelderberry27
Brenda Weaver, brenda.weaver@uwaterloo.ca, bananatreemonkey47
Paul Reynolds, paul.reynolds@uwaterloo.ca, zephyrjungleant46
Bruce Salazar, bruce.salazar@uwaterloo.ca, quincexiguaumbrella53
Christopher Adams, christopher.adams@uwaterloo.ca, dateorangeiguana43
Stephen Ramirez, stephen.ramirez@uwaterloo.ca, mountaingrassflower77
Dennis Medina, dennis.medina@uwaterloo.ca, quincenectarinehoneydew34
Walter Vargas, walter.vargas1@uwaterloo.ca, windvulturecloud18
Lauren Gray, lauren.gray@uwaterloo.ca, zucchinijellyfishvulture46
Laura Bennett, laura.bennett@uwaterloo.ca, peakjunglekettle96
Zachary Young, zachary.young@uwaterloo.ca, uglilemonocean37
Doris Schmidt, doris.schmidt@uwaterloo.ca, zebrajunglelion43
Brandon Campbell, brandon.campbell@uwaterloo.ca, umbrellazebrawhale69
Jesse Moreno, jesse.moreno@uwaterloo.ca, lemonnewtturtle69
Anna Black, anna.black@uwaterloo.ca, quinceumbrellaquince89
Douglas James, douglas.james@uwaterloo.ca, datedewelderberry72
Frank Jackson, frank.jackson@uwaterloo.ca, mountainsharkyellow86
Philip Baker, philip.baker@uwaterloo.ca, antearthmountain16
Elizabeth Castillo, elizabeth.castillo@uwaterloo.ca, mountainpapayabat71
Amber Parker, amber.parker@uwaterloo.ca, lemonbananaant73
Jose Jimenez, jose.jimenez@uwaterloo.ca, datevalleycloud27
Kevin Harris, kevin.harris@uwaterloo.ca, urchinmonkeyhill86
Gloria Parker, gloria.parker@uwaterloo.ca, elderberryfrogzebra39
Donna Bryant, donna.bryant@uwaterloo.ca, strawberryxiguadew69
Heather Palmer, heather.palmer@uwaterloo.ca, iguanaorangenight37
Andrew Lewis, andrew.lewis@uwaterloo.ca, zebrarabbitrabbit33
Shirley Cole, shirley.cole@uwaterloo.ca, sandumbrellazucchini65
Linda Hernandez, linda.hernandez@uwaterloo.ca, yawncherryrabbit23
Hannah Foster, hannah.foster@uwaterloo.ca, zucchinirabbitlake19
Anna Vasquez, anna.vasquez@uwaterloo.ca, newtmangobat96
Christopher Garcia, christopher.garcia@uwaterloo.ca, uglisandpenguin87
Mary Richardson, mary.richardson@uwaterloo.ca, figuglinectarine91
Charles Gardner, charles.gardner@uwaterloo.ca, raspberrydatefig83
Johnny Ramos, johnny.ramos@uwaterloo.ca, zephyrvalleybat64
Alice Olson, alice.olson@uwaterloo.ca, lakenewtcat84
Billy Romero, billy.romero@uwaterloo.ca, flowerwatermelonumbrella61
Albert Ruiz, albert.ruiz@uwaterloo.ca, cherrycaturchin61
Shirley Hill, shirley.hill@uwaterloo.ca, monkeylakequail16
Douglas Vargas, douglas.vargas@uwaterloo.ca, quailwatermelontree38
Carol Jones, carol.jones@uwaterloo.ca, raspberryxerusowl43
Leonard Nelson, leonard.nelson@uwaterloo.ca, oceanraspberryiguana46
Dennis Jordan, dennis.jordan@uwaterloo.ca, quailnightapple87
Carol Long, carol.long@uwaterloo.ca, applevanillagoat52
Angela Gray, angela.gray@uwaterloo.ca, quartzquartzgoat92
James Dixon, james.dixon@uwaterloo.ca, yakpapayamonkey66
Vincent Stone, vincent.stone@uwaterloo.ca, quaillakewhale96
Anthony Baker, anthony.baker@uwaterloo.ca, riverrabbitstrawberry71
Wayne Shaw, wayne.shaw@uwaterloo.ca, orangebanananectarine87
Timothy Mcdonald, timothy.mcdonald@uwaterloo.ca, honeydewoceanbreeze69
Jose Collins, jose.collins@uwaterloo.ca, xylophonenectarinehill87
Janet Shaw, janet.shaw@uwaterloo.ca, yellowkettlezephyr85
Theresa Rice, theresa.rice@uwaterloo.ca, monkeykiwiquail87
Dorothy Baker, dorothy.baker@uwaterloo.ca, treefrogurchin29
Jose Gonzalez, jose.gonzalez@uwaterloo.ca, nectarinevalleyearth10
Melissa Ruiz, melissa.ruiz@uwaterloo.ca, valleypeakearth15
Joyce Russell, joyce.russell@uwaterloo.ca, turtlefigmango44
Samantha Gonzalez, samantha.gonzalez@uwaterloo.ca, rabbitcloudurchin95
Diane Jenkins, diane.jenkins@uwaterloo.ca, elderberrypeakzucchini91
Benjamin Ward, benjamin.ward@uwaterloo.ca, whalejunglenectarine24
Tyler Mendez, tyler.mendez@uwaterloo.ca, treeapplebat65
Justin Torres, justin.torres@uwaterloo.ca, horsegrapeocean82
Kimberly Nichols, kimberly.nichols@uwaterloo.ca, penguinelderberryjungle55
Samantha Richardson, samantha.richardson@uwaterloo.ca, xylophonelakefig99
William Jenkins, william.jenkins@uwaterloo.ca, honeydewflowermonkey65
Ronald Holmes, ronald.holmes@uwaterloo.ca, yellowbananajellyfish10
Cheryl Peterson, cheryl.peterson@uwaterloo.ca, papayacloudxigua45
Sophia Thomas, sophia.thomas@uwaterloo.ca, treezebramango89
Teresa Lewis, teresa.lewis@uwaterloo.ca, peakzephyrquail38
Alice James, alice.james1@uwaterloo.ca, watermelonearthjungle21
Billy Rose, billy.rose@uwaterloo.ca, honeydewxylophonekangaroo27
Natalie Mitchell, natalie.mitchell@uwaterloo.ca, ugliurchinyak78
Danielle Jenkins, danielle.jenkins@uwaterloo.ca, umbrellawhaleearth93
Diana Parker, diana.parker@uwaterloo.ca, figzephyrxylophone45
Barbara Gibson, barbara.gibson@uwaterloo.ca, turtleorangeearth23
Thomas Woods, thomas.woods@uwaterloo.ca, elderberryvultureflower95
Christian Warren, christian.warren@uwaterloo.ca, nectarinequartzzephyr16
Alexis Silva, alexis.silva@uwaterloo.ca, kiwisharkquartz14
Ronald Freeman, ronald.freeman@uwaterloo.ca, dewcatorange15
Roy Henry, roy.henry@uwaterloo.ca, kiwimountaincherry79
Rachel Ramirez, rachel.ramirez@uwaterloo.ca, monkeyxerusmango54
Pamela Murphy, pamela.murphy@uwaterloo.ca, icewhalemango46
Katherine Wood, katherine.wood@uwaterloo.ca, penguinyellowbreeze36
Helen Evans, helen.evans@uwaterloo.ca, bananajellyfishvulture20
Arthur Shaw, arthur.shaw@uwaterloo.ca, monkeyxylophonekiwi76
Patrick Jackson, patrick.jackson1@uwaterloo.ca, honeydewmonkeycloud66
Rose Hall, rose.hall@uwaterloo.ca, autumnriverjungle38
Alexis Morgan, alexis.morgan1@uwaterloo.ca, elderberrynectarinedate25
Melissa Ross, melissa.ross@uwaterloo.ca, cherryyellowpenguin43
Stanley Owens, stanley.owens@uwaterloo.ca, iceflowernectarine78
Megan Baker, megan.baker@uwaterloo.ca, nightautumnyellow73
Marilyn Hicks, marilyn.hicks@uwaterloo.ca, cloudfrogpeak34
Helen Hunt, helen.hunt@uwaterloo.ca, xylophonevanillazephyr81
Janet Robertson, janet.robertson@uwaterloo.ca, elephanthorseice47
Victoria Clark, victoria.clark1@uwaterloo.ca, grassraspberrygoat90
Keith Stone, keith.stone1@uwaterloo.ca, applehoneydewbanana10
Jason Perry, jason.perry@uwaterloo.ca, rabbitquailurchin79
James Martin, james.martin@uwaterloo.ca, mangohillmountain42
Alan Bell, alan.bell@uwaterloo.ca, elephantxeruslemon97
Peter Gutierrez, peter.gutierrez@uwaterloo.ca, papayadogzebra63
Brian Burns, brian.burns@uwaterloo.ca, penguinjellyfishmonkey20
Patrick Hayes, patrick.hayes@uwaterloo.ca, vulturedewturtle97
Karen Hernandez, karen.hernandez@uwaterloo.ca, earthcherrykettle30
Megan Lopez, megan.lopez@uwaterloo.ca, turtlesharkmonkey68
Anna Bennett, anna.bennett@uwaterloo.ca, catumbrellacloud95
Logan Butler, logan.butler@uwaterloo.ca, whalecherrygrape15
Nicole Fernandez, nicole.fernandez@uwaterloo.ca, umbrellavultureriver46
Steven Gibson, steven.gibson@uwaterloo.ca, riverraspberryquail51
Kayla Howard, kayla.howard@uwaterloo.ca, rivernewtquartz55
Abigail Bryant, abigail.bryant@uwaterloo.ca, dogxiguahorse92
Gerald Flores, gerald.flores@uwaterloo.ca, catelephantpenguin55
Amanda Mendez, amanda.mendez1@uwaterloo.ca, sharklakekettle62
Amber Garcia, amber.garcia@uwaterloo.ca, battangerinebat67
Sophia Boyd, sophia.boyd@uwaterloo.ca, bathillhill95
Kimberly Howard, kimberly.howard@uwaterloo.ca, iguanahorseocean75
John Aguilar, john.aguilar@uwaterloo.ca, uglitangerinemonkey98
Joyce King, joyce.king@uwaterloo.ca, jellyfishflowerstrawberry74
Sophia Wood, sophia.wood1@uwaterloo.ca, frogflowerwind75
Charlotte Kim, charlotte.kim@uwaterloo.ca, owltangerineautumn83
Sophia Ortiz, sophia.ortiz@uwaterloo.ca, iguanawatermelonxigua47
Isabella Mcdonald, isabella.mcdonald@uwaterloo.ca, autumnurchinapple26
Brenda Hunt, brenda.hunt@uwaterloo.ca, orangecloudtree68
Jeremy Mills, jeremy.mills@uwaterloo.ca, xerusmangojellyfish80
Isabella Walker, isabella.walker@uwaterloo.ca, owlzucchinifig49
Joshua Griffin, joshua.griffin@uwaterloo.ca, jellyfishcloudelderberry31
Andrew Marshall, andrew.marshall@uwaterloo.ca, sandlakeearth91
Gabriel Guzman, gabriel.guzman@uwaterloo.ca, dategoatdate91
Matthew Hernandez, matthew.hernandez@uwaterloo.ca, applebananaquince15
Brian Hunter, brian.hunter@uwaterloo.ca, nectarinexylophonecat31
Raymond Reyes, raymond.reyes@uwaterloo.ca, frogjunglekettle57
Kathryn Wagner, kathryn.wagner@uwaterloo.ca, xerusdogriver71
Karen Parker, karen.parker@uwaterloo.ca, lemonbatmango80
John Hunter, john.hunter1@uwaterloo.ca, grassflowerhoneydew63
Nicole Ramos, nicole.ramos@uwaterloo.ca, vanillaflowerjungle54
Dennis Hunt, dennis.hunt@uwaterloo.ca, antturtleugli21
Gerald West, gerald.west@uwaterloo.ca, earthstrawberryowl90
Ralph Collins, ralph.collins@uwaterloo.ca, sharkdatehoneydew83
Logan Ellis, logan.ellis@uwaterloo.ca, valleydewfrog13
Frances Aguilar, frances.aguilar@uwaterloo.ca, tangerinezebragoat89
William Marshall, william.marshall@uwaterloo.ca, mountainhoneydeworange80
Isabella Smith, isabella.smith@uwaterloo.ca, kangaroomountaintangerine25
Natalie Rivera, natalie.rivera1@uwaterloo.ca, oceanbananaquail36
Aaron Lewis, aaron.lewis@uwaterloo.ca, antriverxigua97
George Jenkins, george.jenkins@uwaterloo.ca, dogoceanpenguin86
Gary Lee, gary.lee@uwaterloo.ca, elephantflowerraspberry95
Rose Chen, rose.chen@uwaterloo.ca, grassyellowmountain20
Samantha Kim, samantha.kim@uwaterloo.ca, monkeysharkcat52
Kathleen Hunter, kathleen.hunter@uwaterloo.ca, turtleyakapple64
Bobby Phillips, bobby.phillips@uwaterloo.ca, xiguapapayaurchin89
Peter Herrera, peter.herrera@uwaterloo.ca, jellyfishsandxerus75
Ethan Porter, ethan.porter@uwaterloo.ca, jellyfishtreejellyfish81
Julia Griffin, julia.griffin@uwaterloo.ca, icejellyfishxerus14
Amy Alexander, amy.alexander@uwaterloo.ca, earthapplexerus61
Douglas Stone, douglas.stone1@uwaterloo.ca, urchiniguanalake33
Carolyn Ryan, carolyn.ryan@uwaterloo.ca, jungleyawnapple90
Lawrence Simpson, lawrence.simpson2@uwaterloo.ca, mountainkiwixigua23
Jesse James, jesse.james@uwaterloo.ca, nectarinezephyrraspberry46
Stephanie Roberts, stephanie.roberts@uwaterloo.ca, datequincefrog22
Gregory Richardson, gregory.richardson@uwaterloo.ca, autumnquinceyak41
Sophia Martinez, sophia.martinez@uwaterloo.ca, zebragoatnewt56
Ashley Bennett, ashley.bennett@uwaterloo.ca, bananabreezepenguin65
Jose Lopez, jose.lopez@uwaterloo.ca, catgoatmonkey84
Nicholas Flores, nicholas.flores@uwaterloo.ca, earthanthill67
Brandon Porter, brandon.porter@uwaterloo.ca, raspberryxiguaelephant81
Donald Wallace, donald.wallace@uwaterloo.ca, papayanightquince80
Martha Palmer, martha.palmer@uwaterloo.ca, datekiwiurchin85
Jacob Turner, jacob.turner@uwaterloo.ca, frograbbitbanana25
Anthony Boyd, anthony.boyd@uwaterloo.ca, figwhalevalley19
Justin Webb, justin.webb@uwaterloo.ca, papayaurchindate34
Roy Gutierrez, roy.gutierrez@uwaterloo.ca, grapewhalehoneydew80
Juan Bell, juan.bell@uwaterloo.ca, zucchinihillflower80
Barbara Allen, barbara.allen@uwaterloo.ca, strawberryantpapaya81
Charlotte Morales, charlotte.morales@uwaterloo.ca, umbrelladatewhale88
Alexander Peterson, alexander.peterson@uwaterloo.ca, peakwatermelonkettle37
Nicole Gordon, nicole.gordon@uwaterloo.ca, monkeyxiguarabbit60
Eric Jimenez, eric.jimenez@uwaterloo.ca, treemangobat72
Ryan Wilson, ryan.wilson@uwaterloo.ca, treeumbrellatangerine24
Robert Alvarez, robert.alvarez@uwaterloo.ca, whalequartzdog42
Susan Henry, susan.henry@uwaterloo.ca, kiwivultureorange22
Ashley Flores, ashley.flores@uwaterloo.ca, rabbitnightnewt95
Rachel Harrison, rachel.harrison@uwaterloo.ca, nightugligrape48
James Rivera, james.rivera@uwaterloo.ca, lakenightwhale18
Catherine Herrera, catherine.herrera2@uwaterloo.ca, dogkiwisand30
Nancy Ross, nancy.ross@uwaterloo.ca, newtsharkyellow50
Janice Gutierrez, janice.gutierrez@uwaterloo.ca, xiguakangaroodew66
Gregory Sanchez, gregory.sanchez@uwaterloo.ca, yellowhoneydewyak61
Theresa Murray, theresa.murray@uwaterloo.ca, zucchiniwhaleriver33
Margaret Ellis, margaret.ellis@uwaterloo.ca, quincedatebanana14
Katherine Hamilton, katherine.hamilton@uwaterloo.ca, nightjunglewhale55
Ashley Phillips, ashley.phillips@uwaterloo.ca, lionelderberryjellyfish48
James Sanchez, james.sanchez@uwaterloo.ca, newthillbat36
Larry Garcia, larry.garcia@uwaterloo.ca, iguanaturtleyawn51
Sean Guzman, sean.guzman@uwaterloo.ca, newtgoatlemon12
Cynthia Morgan, cynthia.morgan@uwaterloo.ca, grasselderberryorange89
Lauren Long, lauren.long@uwaterloo.ca, breezeappleiguana24
Lisa Vargas, lisa.vargas@uwaterloo.ca, nightcloudyawn87
Margaret Moore, margaret.moore1@uwaterloo.ca, turtledewtree93
Benjamin Ferguson, benjamin.ferguson1@uwaterloo.ca, owlicequince60
Ryan Roberts, ryan.roberts@uwaterloo.ca, monkeyquailriver55
Samuel Daniels, samuel.daniels@uwaterloo.ca, dogmountainjellyfish88
Sophia Stevens, sophia.stevens@uwaterloo.ca, peaknightbreeze62
Sophia Cook, sophia.cook@uwaterloo.ca, whalecherrynewt24
Donald Black, donald.black1@uwaterloo.ca, sandyakgoat29
Eugene White, eugene.white1@uwaterloo.ca, hilldategoat97
Dennis Crawford, dennis.crawford@uwaterloo.ca, xylophonepapayayak49
Daniel Rose, daniel.rose1@uwaterloo.ca, earthhillturtle11
Kimberly Diaz, kimberly.diaz@uwaterloo.ca, froglakeumbrella96
Joseph Stevens, joseph.stevens@uwaterloo.ca, newtbananacloud90
Jeffrey Harris, jeffrey.harris@uwaterloo.ca, mountainturtlequail97
Pamela Woods, pamela.woods@uwaterloo.ca, batlionorange91
Kenneth Cox, kenneth.cox@uwaterloo.ca, sharksharkbanana71
Brenda Kim, brenda.kim@uwaterloo.ca, quartzyawnmountain32
Donna Gonzales, donna.gonzales@uwaterloo.ca, sandiguanawind64
Virginia Long, virginia.long1@uwaterloo.ca, treeautumngoat50
Betty Nguyen, betty.nguyen@uwaterloo.ca, hillyawnquartz42
Samantha Mason, samantha.mason@uwaterloo.ca, zebraoceanriver13
Louis Moore, louis.moore@uwaterloo.ca, whalexiguaelderberry75
Dennis Romero, dennis.romero@uwaterloo.ca, orangemountainhoneydew17
Harold Carter, harold.carter@uwaterloo.ca, yellowyellowzephyr66
Kathryn Butler, kathryn.butler@uwaterloo.ca, nightxerusjungle11
Gabriel Thomas, gabriel.thomas@uwaterloo.ca, batflowernight64
Frank Stephens, frank.stephens@uwaterloo.ca, yawngoatvalley38
Andrew Cruz, andrew.cruz@uwaterloo.ca, xylophonefigwind18
Julie Carter, julie.carter@uwaterloo.ca, goatquartzmountain54
Edward Warren, edward.warren@uwaterloo.ca, yawnicefig27
Wayne King, wayne.king@uwaterloo.ca, iguanakettlehoneydew94
Olivia Jenkins, olivia.jenkins@uwaterloo.ca, cherryfiglemon69
Ruth Thompson, ruth.thompson@uwaterloo.ca, zebrawindpeak54
Ann Ortiz, ann.ortiz1@uwaterloo.ca, peakhillzephyr86
Denise Peterson, denise.peterson@uwaterloo.ca, papayagrapegrape72
Sandra Anderson, sandra.anderson@uwaterloo.ca, bananaelephantice54
Kimberly Cook, kimberly.cook@uwaterloo.ca, goatfrogugli21
Gregory Jackson, gregory.jackson@uwaterloo.ca, rabbitriverbanana77
Ann Bennett, ann.bennett1@uwaterloo.ca, ugliowlcloud62
Rebecca Alvarez, rebecca.alvarez@uwaterloo.ca, sharkhorseumbrella44
Carol Ross, carol.ross@uwaterloo.ca, goatearthvalley54
Ann Davis, ann.davis@uwaterloo.ca, grapeturtleshark62
Eric Jenkins, eric.jenkins@uwaterloo.ca, doghoneydewzebra30
Nancy Perez, nancy.perez@uwaterloo.ca, orangeantkangaroo94
Albert Simmons, albert.simmons@uwaterloo.ca, owlhorsebat18
Ann Wells, ann.wells@uwaterloo.ca, elephanthillyellow16
Julie Harris, julie.harris@uwaterloo.ca, cloudanturchin93
Jeffrey Hicks, jeffrey.hicks@uwaterloo.ca, valleykangaroovanilla36
Tyler Salazar, tyler.salazar@uwaterloo.ca, strawberryriverstrawberry16
Wayne Ford, wayne.ford@uwaterloo.ca, oceanjellyfishelephant63
Donald Rose, donald.rose@uwaterloo.ca, quincevanillazephyr44
Justin Turner, justin.turner@uwaterloo.ca, batkangarooxylophone28
Helen Ryan, helen.ryan1@uwaterloo.ca, umbrellagrapebanana86
Keith Sullivan, keith.sullivan@uwaterloo.ca, nightelderberryquail13
Jacqueline Moreno, jacqueline.moreno@uwaterloo.ca, kettleyellowtangerine40
Christian Herrera, christian.herrera@uwaterloo.ca, lemonkangarooelderberry93
Anthony Patterson, anthony.patterson@uwaterloo.ca, vanillaquincestrawberry16
Billy Adams, billy.adams@uwaterloo.ca, breezebreezeshark33
Brittany Green, brittany.green@uwaterloo.ca, quailriverocean99
Steven Ramirez, steven.ramirez@uwaterloo.ca, raspberrypeakpeak22
William Jordan, william.jordan@uwaterloo.ca, umbrellavalleyfig63
Madison Graham, madison.graham@uwaterloo.ca, uglikangaroohill97
Katherine Baker, katherine.baker1@uwaterloo.ca, earthquincedog24
Mary Lee, mary.lee1@uwaterloo.ca, vanillaiceice38
Anna Bennett, anna.bennett1@uwaterloo.ca, zucchiniiguanavulture31
Julie Vasquez, julie.vasquez@uwaterloo.ca, iceowlwatermelon67
Brenda Woods, brenda.woods@uwaterloo.ca, strawberrybanananectarine74
Gregory Kennedy, gregory.kennedy@uwaterloo.ca, turtleurchinvulture72
Bryan Myers, bryan.myers@uwaterloo.ca, nightmountainlion40
Amber Wilson, amber.wilson@uwaterloo.ca, applebananatree58
Jason Myers, jason.myers@uwaterloo.ca, catkiwibat83
Charles Mills, charles.mills@uwaterloo.ca, iguanapeakwind86
Mark Peterson, mark.peterson@uwaterloo.ca, datexiguaocean63
Gary Nguyen, gary.nguyen@uwaterloo.ca, earthlemonstrawberry25
Joseph Shaw, joseph.shaw@uwaterloo.ca, flowerhilllion58
Amanda Taylor, amanda.taylor@uwaterloo.ca, xylophonenectarinetree37
Diana Kim, diana.kim@uwaterloo.ca, treenightriver63
Noah Lee, noah.lee@uwaterloo.ca, autumniguanahorse32
Richard Webb, richard.webb@uwaterloo.ca, xylophonebananamango54
Diana Fernandez, diana.fernandez@uwaterloo.ca, breezemountainorange61
Daniel Mendez, daniel.mendez@uwaterloo.ca, turtlegrapexerus54
Theresa Hill, theresa.hill@uwaterloo.ca, grassiguanahoneydew95
Maria Ford, maria.ford@uwaterloo.ca, nectarineautumnrabbit14
Jonathan Sanchez, jonathan.sanchez@uwaterloo.ca, zephyrnightlemon34
Dorothy Ortiz, dorothy.ortiz2@uwaterloo.ca, lemoncloudkettle20
Mary Davis, mary.davis@uwaterloo.ca, catyawnbat38
Judy Lewis, judy.lewis@uwaterloo.ca, autumntangerinehoneydew36
Maria Johnson, maria.johnson@uwaterloo.ca, xeruswhaleocean14
Debra Martinez, debra.martinez@uwaterloo.ca, nightlakequartz61
Zachary Vargas, zachary.vargas@uwaterloo.ca, xiguanightgoat16
Gerald Black, gerald.black@uwaterloo.ca, jellyfishsandugli18
Matthew Turner, matthew.turner@uwaterloo.ca, elephanthillkiwi51
Sean Baker, sean.baker@uwaterloo.ca, quartznewttree98
Ralph Dixon, ralph.dixon@uwaterloo.ca, mangonewtelephant19
Lauren Mendez, lauren.mendez@uwaterloo.ca, owlumbrellagrape38
Russell Morris, russell.morris@uwaterloo.ca, breezeowlrabbit78
Helen Patterson, helen.patterson@uwaterloo.ca, jellyfishtreeelderberry94
Raymond Gardner, raymond.gardner@uwaterloo.ca, turtleriversand99
Victoria Henry, victoria.henry@uwaterloo.ca, icedewmango83
Eugene James, eugene.james@uwaterloo.ca, dewriverkiwi11
Benjamin Rice, benjamin.rice@uwaterloo.ca, catmonkeyugli44
Nicole Soto, nicole.soto@uwaterloo.ca, turtleraspberryjungle30
Terry Daniels, terry.daniels1@uwaterloo.ca, vulturevalleytree91
Roger Patel, roger.patel@uwaterloo.ca, bananacloudearth47
Sarah Mendoza, sarah.mendoza@uwaterloo.ca, breezekiwinight27
Nicole Gonzalez, nicole.gonzalez@uwaterloo.ca, catyellowocean43
Leonard Fisher, leonard.fisher1@uwaterloo.ca, penguinflowerjungle71
Jesse Campbell, jesse.campbell@uwaterloo.ca, lemonriverxylophone62
Raymond Gutierrez, raymond.gutierrez@uwaterloo.ca, cherrycherryxerus70
Andrea Coleman, andrea.coleman@uwaterloo.ca, cherryzucchiniyawn36
Eugene Stephens, eugene.stephens@uwaterloo.ca, lemonbaturchin35
Albert Henry, albert.henry@uwaterloo.ca, rivertreelemon75
Jennifer Williams, jennifer.williams@uwaterloo.ca, rivernightstrawberry42
Thomas Boyd, thomas.boyd@uwaterloo.ca, vanillapapayaquince69
Maria Washington, maria.washington@uwaterloo.ca, antvulturelake35
Jerry Cruz, jerry.cruz@uwaterloo.ca, nightsandquince62
Jeffrey Hunt, jeffrey.hunt@uwaterloo.ca, tangerineturtleshark42
Beverly Woods, beverly.woods@uwaterloo.ca, jungleorangejellyfish72
Edward Simmons, edward.simmons@uwaterloo.ca, iguanariverquince48
Jose Young, jose.young@uwaterloo.ca, hillantkangaroo51
Janice Murphy, janice.murphy@uwaterloo.ca, icemountainsand28
Thomas Bryant, thomas.bryant@uwaterloo.ca, monkeynectarineumbrella79
Amy Mills, amy.mills@uwaterloo.ca, elephantearthkiwi30
Austin Ryan, austin.ryan@uwaterloo.ca, papayaorangetree98
Bryan Nichols, bryan.nichols@uwaterloo.ca, kangaroozephyrnectarine99
Laura Barnes, laura.barnes@uwaterloo.ca, turtleantturtle30
Philip Jimenez, philip.jimenez@uwaterloo.ca, umbrellapeakxerus18
Billy Gonzales, billy.gonzales@uwaterloo.ca, lemonpeakyellow72
Lauren Smith, lauren.smith@uwaterloo.ca, grapetreemonkey80
